timestamp,device_id,cpu_usage_idle,mem_total,mem_used,system_load1,system_load15,system_load5
1723122550,vm101,99.5987963891,4097830912,1975857152,0.03,0.09,0.05
1723122560,vm101,99.5997999,4097830912,1975857152,0.03,0.09,0.05
1723122570,vm101,99.7494989979,4097830912,1975857152,0.02,0.09,0.04
1723122580,vm101,99.6995493239,4097830912,1975857152,0.02,0.08,0.04
1723122590,vm101,99.5502248875,4097830912,1975857152,0.02,0.08,0.04
1723122600,vm101,99.7496244366,4097830912,1975857152,0.01,0.08,0.04
1723122610,vm101,99.2992992993,4097830912,1975857152,0.01,0.08,0.04
1723122620,vm101,99.5997999,4097830912,1976111104,0.01,0.08,0.04
1723122630,vm101,99.6494742113,4097830912,1976111104,0.01,0.08,0.03
1723122640,vm101,99.5493239859,4097830912,1978208256,0,0.08,0.03
1723122650,vm101,99.6992481203,4097830912,1978208256,0,0.08,0.03
1723122660,vm101,99.6496496496,4097830912,1978208256,0,0.08,0.03
1723122670,vm101,99.4994994995,4097830912,1978208256,0,0.08,0.03
1723122680,vm101,99.6498249124,4097830912,1978208256,0,0.08,0.03
1723122690,vm101,99.4486215538,4097830912,1978208256,0,0.07,0.03
1723122700,vm101,99.6496496496,4097830912,1978204160,0,0.07,0.02
1723122710,vm101,99.3490235353,4097830912,1978204160,0,0.07,0.02
1723122720,vm101,99.2996498249,4097830912,1978204160,0,0.07,0.02
1723122730,vm101,99.4987468671,4097830912,1978204160,0,0.07,0.02
1723122740,vm101,99.5497748874,4097830912,1978204160,0,0.07,0.02
1723122750,vm101,99.7494989979,4097830912,1978204160,0,0.07,0.02
1723122760,vm101,99.5495495495,4097830912,1978204160,0,0.07,0.02
1723122770,vm101,99.6496496496,4097830912,1978204160,0,0.07,0.02
1723122780,vm101,99.6995493239,4097830912,1978204160,0,0.07,0.02
1723122790,vm101,99.4994994995,4097830912,1978204160,0,0.06,0.02
1723122800,vm101,99.7494989979,4097830912,1978204160,0,0.06,0.01
1723122810,vm101,99.6494742113,4097830912,1978204160,0,0.06,0.01
1723122820,vm101,99.5497748874,4097830912,1978200064,0,0.06,0.01
1723122830,vm101,99.6496496496,4097830912,1978200064,0,0.06,0.01
1723122840,vm101,99.5995995996,4097830912,1978200064,0,0.06,0.01
1723122850,vm101,99.3993993994,4097830912,1978200064,0,0.06,0.01
1723122860,vm101,99.5495495495,4097830912,1978200064,0,0.06,0.01
1723122870,vm101,99.6492985971,4097830912,1978458112,0,0.06,0.01
1723122880,vm101,99.5997999,4097830912,1978458112,0,0.06,0.01
1723122890,vm101,99.6996996997,4097830912,1978458112,0,0.05,0.01
1723122900,vm101,99.5995995996,4097830912,1978458112,0,0.05,0
1723122910,vm101,99.4488977955,4097830912,1978454016,0,0.05,0
1723122920,vm101,99.5495495495,4097830912,1978454016,0,0.05,0
1723122930,vm101,99.4497248624,4097830912,1978454016,0,0.05,0
1723122940,vm101,99.5989974937,4097830912,1978454016,0,0.05,0
1723122950,vm101,99.5495495495,4097830912,1947865088,0,0.05,0
1723122960,vm101,99.5495495495,4097830912,1947869184,0,0.05,0
1723122970,vm101,99.1991991991,4097830912,1947873280,0,0.05,0
1723122980,vm101,99.6993987975,4097830912,1947873280,0,0.05,0
1723122990,vm101,99.6993987975,4097830912,1947873280,0,0.04,0
1723123000,vm101,99.55,4097830912,1947869184,0,0.04,0
1723123010,vm101,99.7996995493,4097830912,1947869184,0,0.04,0
1723123020,vm101,99.5995995996,4097830912,1947869184,0,0.04,0
1723123030,vm101,99.4997498749,4097830912,1947869184,0,0.04,0
1723123040,vm101,99.6496496496,4097830912,1947869184,0,0.04,0
1723123050,vm101,99.6496496496,4097830912,1947869184,0,0.04,0
1723123060,vm101,99.6995493239,4097830912,1947869184,0,0.04,0
1723123070,vm101,99.5995995996,4097830912,1947869184,0,0.04,0
1723123080,vm101,99.6995493239,4097830912,1947869184,0,0.04,0
1723123090,vm101,99.4494494494,4097830912,1947865088,0,0.04,0
1723123100,vm101,99.6993987975,4097830912,1947865088,0,0.03,0
1723123110,vm101,99.6995493239,4097830912,1947865088,0,0.03,0
1723123120,vm101,99.5997999,4097830912,1947865088,0,0.03,0
1723123130,vm101,99.6496496496,4097830912,1947865088,0,0.03,0
1723123140,vm101,99.6996996997,4097830912,1947865088,0,0.03,0
1723123150,vm101,99.6993987975,4097830912,1947865088,0,0.03,0
1723123160,vm101,99.5495495495,4097830912,1947766784,0,0.03,0
1723123170,vm101,99.7494989979,4097830912,1947766784,0,0.03,0
1723123180,vm101,99.5007488766,4097830912,1947762688,0.07,0.03,0.02
1723123190,vm101,99.649122807,4097830912,1947762688,0.06,0.03,0.02
1723123200,vm101,99.7496244366,4097830912,1947762688,0.05,0.03,0.01
1723123210,vm101,98.6479719579,4097830912,1947762688,0.04,0.03,0.01
1723123220,vm101,91.3913913914,4097830912,1947983872,0.04,0.03,0.01
1723123230,vm101,99.4989979959,4097830912,1947852800,0.03,0.03,0.01
1723123240,vm101,99.55,4097830912,1947852800,0.02,0.03,0.01
1723123250,vm101,48.4468937876,4097830912,2048163840,1.94,0.15,0.41
1723123260,vm101,88.1763527054,4097830912,2058186752,1.64,0.15,0.39
1723123270,vm101,99.4989979959,4097830912,2058186752,1.39,0.15,0.38
1723123280,vm101,99.5493239859,4097830912,2058186752,1.18,0.15,0.37
1723123290,vm101,99.5495495495,4097830912,2058186752,1,0.15,0.36
1723123300,vm101,97.2472472472,4097830912,2063212544,0.92,0.15,0.36
1723123310,vm101,72.1608040201,4097830912,2129838080,0.93,0.16,0.38
1723123320,vm101,54.7320981472,4097830912,2160414720,0.79,0.16,0.37
1723123330,vm101,61.09437751,4097830912,855482368,0.82,0.17,0.39
1723123340,vm101,5.01253132832,4097830912,1582899200,1.08,0.19,0.46
1723123350,vm101,1.799100449775,4097830912,1832038400,1.55,0.24,0.58
1723123360,vm101,55.5220883534,4097830912,1945174016,1.53,0.25,0.61
1723123370,vm101,99.2985971943,4097830912,1945882624,1.29,0.25,0.59
1723123380,vm101,99.3493493493,4097830912,1945882624,1.09,0.24,0.57
1723123390,vm101,98.0952380952,4097830912,1946398720,0.93,0.24,0.55
1723123400,vm101,99.40029985,4097830912,1946398720,0.78,0.24,0.53
1723123410,vm101,99.4488977955,4097830912,1946398720,0.66,0.23,0.51
1723123420,vm101,99.4494494494,4097830912,1946558464,0.56,0.23,0.49
1723123430,vm101,99.5493239859,4097830912,1951268864,0.47,0.23,0.48
1723123440,vm101,99.3490235353,4097830912,1956753408,0.4,0.23,0.46
1723123450,vm101,98.8488488488,4097830912,1956753408,0.34,0.22,0.45
1723123460,vm101,99.4992488733,4097830912,1957011456,0.29,0.22,0.43
1723123470,vm101,99.39969985,4097830912,1958809600,0.24,0.22,0.42
1723123480,vm101,99.6492985971,4097830912,1958809600,0.2,0.21,0.4
1723123490,vm101,99.4994994994,4097830912,1958809600,0.17,0.21,0.39
1723123500,vm101,99.4497248624,4097830912,1958809600,0.14,0.21,0.38
